,date,max_load
648,2011/7/22,24091.0
649,2011/7/23,22988.0
650,2011/7/24,22128.0
651,2011/7/25,25082.0
652,2011/7/26,25489.0
653,2011/7/27,24914.0
654,2011/7/28,24461.0
655,2011/7/29,25079.0
656,2011/7/30,23711.0
657,2011/7/31,21869.0
658,2011/8/1,23719.0
659,2011/8/2,24172.0
660,2011/8/3,24441.0
661,2011/8/4,22877.0
662,2011/8/5,22792.0
663,2011/8/6,20131.0
664,2011/8/7,17775.0
665,2011/8/8,22699.0
666,2011/8/9,23696.0
667,2011/8/10,24487.0
668,2011/8/11,24608.0
669,2011/8/12,23094.0
670,2011/8/13,20562.0
671,2011/8/14,19930.0
672,2011/8/15,24052.0
673,2011/8/16,23845.0
674,2011/8/17,23640.0
675,2011/8/18,22980.0
676,2011/8/19,22470.0
677,2011/8/20,21740.0
678,2011/8/21,19488.0
679,2011/8/22,20710.0
680,2011/8/23,20515.0
681,2011/8/24,19544.0
682,2011/8/25,18451.0
683,2011/8/26,18978.0
684,2011/8/27,17922.0
685,2011/8/28,17418.0
686,2011/8/29,20333.0
687,2011/8/30,21509.0
688,2011/8/31,22185.0
689,2011/9/1,21419.0
690,2011/9/2,21206.0
691,2011/9/3,18843.0
692,2011/9/4,17440.0
693,2011/9/5,19927.0
694,2011/9/6,19325.0
695,2011/9/7,18786.0
696,2011/9/8,19245.0
697,2011/9/9,18789.0
698,2011/9/10,17425.0
699,2011/9/11,15760.0
700,2011/9/12,14801.0
701,2011/9/13,20044.0
702,2011/9/14,20893.0
703,2011/9/15,21961.0
704,2011/9/16,22021.0
705,2011/9/17,18270.0
706,2011/9/18,16915.0
707,2011/9/19,17509.0
708,2011/9/20,17000.0
709,2011/9/21,16673.0
710,2011/9/22,16336.0
711,2011/9/23,16556.0
712,2011/9/24,15561.0
713,2011/9/25,14537.0
714,2011/9/26,17409.0
715,2011/9/27,17594.0
716,2011/9/28,18216.0
717,2011/9/29,19355.0
718,2011/9/30,16163.0
719,2011/10/1,12634.0
720,2011/10/2,12217.0
721,2011/10/3,12006.0
722,2011/10/4,12606.0
723,2011/10/5,13801.0
724,2011/10/6,14519.0
725,2011/10/7,15008.0
726,2011/10/8,15935.0
727,2011/10/9,15750.0
728,2011/10/10,16926.0
729,2011/10/11,16896.0
730,2011/10/12,16598.0
731,2011/10/13,16826.0
732,2011/10/14,16466.0
733,2011/10/15,15362.0
734,2011/10/16,14382.0
735,2011/10/17,16187.0
736,2011/10/18,16097.0
737,2011/10/19,16064.0
738,2011/10/20,16286.0
739,2011/10/21,16346.0
740,2011/10/22,14918.0
741,2011/10/23,14233.0
742,2011/10/24,16235.0
743,2011/10/25,15841.0
744,2011/10/26,15822.0
745,2011/10/27,15898.0
746,2011/10/28,15829.0
747,2011/10/29,14558.0
748,2011/10/30,13976.0
749,2011/10/31,15624.0
750,2011/11/1,16002.0
751,2011/11/2,16389.0
752,2011/11/3,16450.0
753,2011/11/4,16683.0
754,2011/11/5,15564.0
755,2011/11/6,14800.0
756,2011/11/7,16190.0
757,2011/11/8,16133.0
758,2011/11/9,16162.0
759,2011/11/10,16158.0
760,2011/11/11,16152.0
761,2011/11/12,14921.0
762,2011/11/13,14273.0
763,2011/11/14,16174.0
764,2011/11/15,15893.0
765,2011/11/16,16201.0
766,2011/11/17,16559.0
767,2011/11/18,16658.0
768,2011/11/19,14798.0
769,2011/11/20,14310.0
770,2011/11/21,16102.0
771,2011/11/22,16123.0
772,2011/11/23,16303.0
773,2011/11/24,16601.0
774,2011/11/25,16391.0
775,2011/11/26,14997.0
776,2011/11/27,14450.0
777,2011/11/28,16182.0
778,2011/11/29,16220.0
779,2011/11/30,16490.0
780,2011/12/1,16976.0
781,2011/12/2,17750.0
782,2011/12/3,16000.0
783,2011/12/4,14982.0
784,2011/12/5,16945.0
785,2011/12/6,16969.0
786,2011/12/7,17192.0
787,2011/12/8,18444.0
788,2011/12/9,18690.0
789,2011/12/10,17996.0
790,2011/12/11,17507.0
791,2011/12/12,19294.0
792,2011/12/13,19158.0
