dates,max_load
2011/2/7,12408.0
2011/2/8,12590.0
2011/2/9,14822.0
2011/2/10,17306.0
2011/2/11,17546.0
2011/2/12,17848.0
2011/2/13,17487.0
2011/2/14,19231.0
2011/2/15,19428.0
2011/2/16,19714.0
2011/2/17,19852.0
2011/2/18,19706.0
2011/2/19,17849.0
2011/2/20,16814.0
2011/2/21,18746.0
2011/2/22,18087.0
2011/2/23,17225.0
2011/2/24,16888.0
2011/2/25,17780.0
2011/2/26,16256.0
2011/2/27,15252.0
2011/2/28,18655.0
2011/3/1,19727.0
2011/3/2,19129.0
2011/3/3,18637.0
2011/3/4,18556.0
2011/3/5,16852.0
2011/3/6,16609.0
2011/3/7,18442.0
2011/3/8,17812.0
2011/3/9,17873.0
2011/3/10,17420.0
2011/3/11,17235.0
2011/3/12,16029.0
2011/3/13,15165.0
2011/3/14,17657.0
2011/3/15,18450.0
2011/3/16,17927.0
2011/3/17,16882.0
2011/3/18,17486.0
2011/3/19,16009.0
2011/3/20,15469.0
2011/3/21,18532.0
2011/3/22,18891.0
2011/3/23,17850.0
2011/3/24,17159.0
2011/3/25,17392.0
2011/3/26,15913.0
2011/3/27,15103.0
2011/3/28,16688.0
2011/3/29,16766.0
2011/3/30,16793.0
2011/3/31,16484.0
2011/4/1,16218.0
2011/4/2,16321.0
2011/4/3,15298.0
2011/4/4,14435.0
2011/4/5,13811.0
2011/4/6,16363.0
2011/4/7,16990.0
2011/4/8,16344.0
2011/4/9,15323.0
2011/4/10,14454.0
2011/4/11,16396.0
2011/4/12,16132.0
2011/4/13,16241.0
2011/4/14,16194.0
2011/4/15,16457.0
2011/4/16,15307.0
2011/4/17,14262.0
2011/4/18,15979.0
2011/4/19,16039.0
2011/4/20,16028.0
2011/4/21,16288.0
2011/4/22,16536.0
2011/4/23,15077.0
2011/4/24,14556.0
2011/4/25,16124.0
2011/4/26,16256.0
2011/4/27,16399.0
2011/4/28,15800.0
2011/4/29,16076.0
2011/4/30,14421.0
2011/5/1,12289.0
2011/5/2,13225.0
2011/5/3,16115.0
2011/5/4,15705.0
2011/5/5,15843.0
2011/5/6,16360.0
2011/5/7,15858.0
2011/5/8,15380.0
2011/5/9,18070.0
2011/5/10,19334.0
2011/5/11,17288.0
2011/5/12,16934.0
2011/5/13,16928.0
2011/5/14,15472.0
2011/5/15,14618.0
2011/5/16,17070.0
2011/5/17,17561.0
2011/5/18,17457.0
2011/5/19,18060.0
2011/5/20,19311.0
2011/5/21,16118.0
2011/5/22,14295.0
2011/5/23,15940.0
2011/5/24,15883.0
2011/5/25,16127.0
2011/5/26,16214.0
2011/5/27,16107.0
2011/5/28,15042.0
2011/5/29,14139.0
2011/5/30,16333.0
2011/5/31,16961.0
2011/6/1,16690.0
2011/6/2,17685.0
2011/6/3,17472.0
2011/6/4,15405.0
2011/6/5,13901.0
2011/6/6,12942.0
2011/6/7,16019.0
2011/6/8,17448.0
2011/6/9,19371.0
2011/6/10,18528.0
2011/6/11,16179.0
2011/6/12,14700.0
2011/6/13,17954.0
2011/6/14,16953.0
2011/6/15,16547.0
2011/6/16,16647.0
2011/6/17,16798.0
2011/6/18,15764.0
2011/6/19,14181.0
2011/6/20,16683.0
2011/6/21,17516.0
2011/6/22,19934.0
2011/6/23,20696.0
2011/6/24,21379.0
2011/6/25,18081.0
2011/6/26,15721.0
2011/6/27,19646.0
2011/6/28,21091.0
2011/6/29,21082.0
2011/6/30,20288.0
2011/7/1,21266.0
2011/7/2,20781.0
2011/7/3,21557.0
2011/7/4,24129.0
2011/7/5,22710.0
2011/7/6,24193.0
2011/7/7,24908.0
2011/7/8,23183.0
2011/7/9,20294.0
2011/7/10,18686.0
2011/7/11,21595.0
2011/7/12,21453.0
2011/7/13,21667.0
2011/7/14,22318.0
