A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.,,,,,,,,,,
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.,,,,,,,,,,
,,,,,,,,,,
Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,1/8/2016 3:00,2016,1,8,3,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 4:00,2016,1,8,4,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 5:00,2016,1,8,5,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 6:00,2016,1,8,6,46,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 7:00,2016,1,8,7,54,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 8:00,2016,1,8,8,60,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 9:00,2016,1,8,9,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 10:00,2016,1,8,10,67,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 11:00,2016,1,8,11,72,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 12:00,2016,1,8,12,76,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 13:00,2016,1,8,13,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 14:00,2016,1,8,14,73,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 15:00,2016,1,8,15,82,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 16:00,2016,1,8,16,88,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 17:00,2016,1,8,17,91,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 18:00,2016,1,8,18,95,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 19:00,2016,1,8,19,104,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 20:00,2016,1,8,20,105,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 21:00,2016,1,8,21,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 22:00,2016,1,8,22,99,µg/m³,1 Hr,Valid
Shanghai,PM2.5,1/8/2016 23:00,2016,1,8,23,96,µg/m³,1 Hr,Valid
